#title = mean sea level anomaly North Sea (Annual signals removed) ,,,,
#institution = NOAA/Laboratory for Satellite Altimetry ,,,,
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) ,,,,
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' ,,
#trend = 2.94 mm/year (no glacial isostatic adjustment correction) ,,,,
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9599,-11.25,,,
1992.9854,11.6,,,
1993.0119,30.46,,,
1993.0387,190.62,,,
1993.0661,115.37,,,
1993.0955,63.7,,,
1993.1199,42.38,,,
1993.1478,13.77,,,
1993.1751,-95.5,,,
1993.2022,71.48,,,
1993.2295,76.51,,,
1993.2838,-82.16,,,
1993.311,-25.67,,,
1993.3383,-25.57,,,
1993.3652,-68.09,,,
1993.3924,-5.23,,,
1993.4195,5.98,,,
1993.4469,-1.04,,,
1993.4739,8.5,,,
1993.499,23.75,,,
1993.5282,-50.63,,,
1993.5823,-44.74,,,
1993.6109,-35.4,,,
1993.6368,-18.01,,,
1993.664,-1.38,,,
1993.6907,-78.09,,,
1993.7175,-63.61,,,
1993.7996,42.15,,,
1993.8541,-31.26,,,
1993.8818,33.39,,,
1993.9073,-56.28,,,
1993.9354,-76.64,,,
1994.0445,-67.06,,,
1994.0709,26.9,,,
1994.1797,-10.14,,,
1994.234,-42.62,,,
1994.2883,-82.05,,,
1994.3155,-67.06,,,
1994.3425,16.6,,,
1994.3698,-23.74,,,
1994.3969,34.43,,,
1994.424,32.51,,,
1994.4512,36.6,,,
1994.5039,-8.14,,,
1994.5328,-51.64,,,
1994.5597,-56.14,,,
1994.5872,-36.79,,,
1994.6141,18.8,,,
1994.6413,-45.69,,,
1994.6684,-27.61,,,
1994.6958,-54.87,,,
1994.7227,-21.89,,,
1994.7501,52.67,,,
1994.7772,66.96,,,
1994.804,-95.17,,,
1994.8313,-90,,,
1994.8856,110.52,,,
1994.913,85.02,,,
1994.9404,91.59,,,
1994.9673,71.73,,,
1994.9935,-9.75,,,
1995.0214,42.52,,,
1995.0753,-65.57,,,
1995.1029,38.11,,,
1995.1301,-11.94,,,
1995.1571,-19.67,,,
1995.2114,14.95,,,
1995.2384,128.06,,,
1995.2661,69.87,,,
1995.2925,-33.99,,,
1995.3199,-61.54,,,
1995.3743,3.34,,,
1995.4016,16.67,,,
1995.4284,-51,,,
1995.4559,11.75,,,
1995.4829,41.81,,,
1995.5371,-14.01,,,
1995.5642,-11.03,,,
1995.5914,-21.62,,,
1995.6186,-4.56,,,
1995.6461,35.37,,,
1995.6723,-61.17,,,
1995.7,-72.21,,,
1995.7271,27.72,,,
1995.7546,24.11,,,
1995.7818,69.13,,,
1995.836,125.58,,,
1995.8629,3.25,,,
1995.889,-11.92,,,
1995.9447,5.41,,,
1995.9715,-49.62,,,
1995.9964,-40.69,,,
1996.0259,-53.88,,,
1996.0517,-58.68,,,
1996.0808,-72.86,,,
1996.1618,-40.85,,,
1996.243,22.27,,,
1996.2704,44,,,
