#title = mean sea level anomaly Atlantic Ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.10 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9615,-25.13000,,,
1992.9870,-17.46000,,,
1993.0128,-16.91000,,,
1993.0413,-11.92000,,,
1993.0663,-19.11000,,,
1993.0976,-20.92000,,,
1993.1213,-22.23000,,,
1993.1498,-20.00000,,,
1993.1768,-18.16000,,,
1993.2040,-15.24000,,,
1993.2311,-27.08000,,,
1993.2855,-18.52000,,,
1993.3126,-18.88000,,,
1993.3397,-18.60000,,,
1993.3669,-8.55000,,,
1993.3940,-15.74000,,,
1993.4212,-28.00000,,,
1993.4484,-18.47000,,,
1993.4755,-25.85000,,,
1993.5024,-18.84000,,,
1993.5297,-19.09000,,,
1993.5840,-18.58000,,,
1993.6118,-24.00000,,,
1993.6385,-15.27000,,,
1993.6655,-18.16000,,,
1993.6927,-16.03000,,,
1993.7193,-12.88000,,,
1993.7470,-17.68000,,,
1993.7742,-13.81000,,,
1993.8012,-18.91000,,,
1993.8556,-7.85000,,,
1993.8828,-14.20000,,,
1993.9101,-14.22000,,,
1993.9370,-12.54000,,,
1993.9643,-13.25000,,,
1993.9911,-8.04000,,,
1994.0185,-17.87000,,,
1994.0454,-22.67000,,,
1994.0726,-30.75000,,,
1994.0999,-22.28000,,,
1994.1270,-20.46000,,,
1994.1542,-4.33000,,,
1994.1812,-12.92000,,,
1994.2356,-21.75000,,,
1994.2628,-18.45000,,,
1994.2900,-17.07000,,,
1994.3173,-12.82000,,,
1994.3442,-10.24000,,,
1994.3713,-8.11000,,,
1994.3985,-2.73000,,,
1994.4256,-13.25000,,,
1994.4527,-12.79000,,,
1994.5070,-0.67000,,,
1994.5342,-33.53000,,,
1994.5615,-38.25000,,,
1994.5886,-16.71000,,,
1994.6158,-18.02000,,,
1994.6429,-16.97000,,,
1994.6701,-14.78000,,,
