#title = mean sea level anomaly Caribbean Sea (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9617,-24.90000,,,
1992.9874,-6.38000,,,
1993.0128,-11.48000,,,
1993.0413,4.13000,,,
1993.0666,4.64000,,,
1993.0994,-9.05000,,,
1993.1205,-4.75000,,,
1993.1508,-5.43000,,,
1993.1769,-18.52000,,,
1993.2048,-9.29000,,,
1993.2313,-27.62000,,,
1993.2863,-6.53000,,,
1993.3133,-7.66000,,,
1993.3402,-17.11000,,,
1993.3679,-21.94000,,,
1993.3941,-18.20000,,,
1993.4223,-23.57000,,,
1993.4488,1.39000,,,
1993.4760,-30.41000,,,
1993.5018,-25.46000,,,
1993.5299,-13.42000,,,
1993.5841,-13.01000,,,
1993.6130,-8.45000,,,
1993.6400,-12.27000,,,
1993.6663,-17.36000,,,
1993.6933,-15.37000,,,
1993.7192,-7.11000,,,
1993.7474,-5.49000,,,
1993.7747,-1.80000,,,
1993.8014,0.04000,,,
1993.8564,13.51000,,,
1993.8827,-10.04000,,,
1993.9108,-19.20000,,,
1993.9377,-9.63000,,,
1993.9647,-9.05000,,,
1993.9920,-1.62000,,,
1994.0194,2.55000,,,
1994.0463,-5.77000,,,
1994.0728,-13.09000,,,
1994.1005,0.38000,,,
1994.1276,1.56000,,,
1994.1550,5.66000,,,
1994.1816,-8.31000,,,
1994.2362,-8.78000,,,
1994.2634,6.37000,,,
1994.2906,3.21000,,,
1994.3174,13.28000,,,
1994.3451,16.33000,,,
1994.3716,24.95000,,,
1994.3992,29.81000,,,
1994.4265,2.09000,,,
1994.4528,-15.03000,,,
1994.5068,27.94000,,,
1994.5350,5.26000,,,
1994.5621,3.50000,,,
1994.5894,8.75000,,,
1994.6164,-2.44000,,,
1994.6437,1.74000,,,
1994.6707,6.10000,,,
1994.6980,11.44000,,,
1994.7248,-0.84000,,,
1994.7513,14.48000,,,
1994.7791,-4.16000,,,
1994.8063,-0.69000,,,
1994.8328,4.18000,,,
1994.8879,16.33000,,,
1994.9151,15.69000,,,
1994.9423,14.98000,,,
1994.9691,18.80000,,,
1994.9964,0.48000,,,
1995.0236,12.18000,,,
