#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.96 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-19.51000,,,
1992.9865,-19.92000,,,
1993.0123,-15.58000,,,
1993.0407,-19.39000,,,
1993.0660,-23.91000,,,
1993.0974,-27.20000,,,
1993.1206,-25.09000,,,
1993.1493,-18.96000,,,
1993.1765,-15.90000,,,
1993.2037,-16.30000,,,
1993.2307,-19.72000,,,
1993.2851,-22.71000,,,
1993.3123,-16.23000,,,
1993.3394,-15.67000,,,
1993.3665,-12.57000,,,
1993.3937,-17.09000,,,
1993.4208,-21.49000,,,
1993.4480,-18.34000,,,
1993.4751,-13.62000,,,
1993.5021,-10.67000,,,
1993.5294,-11.95000,,,
1993.5837,-21.01000,,,
1993.6117,-18.37000,,,
1993.6381,-14.58000,,,
1993.6652,-11.18000,,,
1993.6923,-13.50000,,,
1993.7189,-20.03000,,,
1993.7466,-20.62000,,,
1993.7738,-15.92000,,,
1993.8009,-16.61000,,,
1993.8553,-13.20000,,,
1993.8824,-18.98000,,,
1993.9098,-19.46000,,,
1993.9367,-16.97000,,,
1993.9639,-9.28000,,,
1993.9907,-7.31000,,,
1994.0181,-15.92000,,,
1994.0452,-15.82000,,,
1994.0723,-17.32000,,,
1994.0995,-18.95000,,,
1994.1267,-17.40000,,,
1994.1539,-11.13000,,,
1994.1809,-10.48000,,,
1994.2353,-15.41000,,,
1994.2624,-13.08000,,,
1994.2896,-10.77000,,,
1994.3168,-7.98000,,,
1994.3439,-11.41000,,,
1994.3710,-15.91000,,,
1994.3982,-18.63000,,,
1994.4253,-15.45000,,,
1994.4524,-8.93000,,,
1994.5067,-15.57000,,,
1994.5339,-14.59000,,,
1994.5610,-17.63000,,,
1994.5882,-14.05000,,,
1994.6154,-11.69000,,,
1994.6425,-8.96000,,,
1994.6697,-11.86000,,,
1994.6968,-14.46000,,,
1994.7239,-17.27000,,,
1994.7510,-16.17000,,,
1994.7782,-14.51000,,,
1994.8054,-8.33000,,,
1994.8325,-9.92000,,,
1994.8868,-17.52000,,,
1994.9140,-17.67000,,,
1994.9412,-7.74000,,,
1994.9684,-6.74000,,,
1994.9955,-9.88000,,,
1995.0226,-12.73000,,,
1995.0497,-15.25000,,,
1995.0769,-6.99000,,,
1995.1040,-7.67000,,,
1995.1312,-9.04000,,,
1995.1583,-9.50000,,,
1995.2127,-8.28000,,,
1995.2398,-13.59000,,,
1995.2669,-7.95000,,,
1995.2941,-5.63000,,,
1995.3212,-9.32000,,,
1995.3755,-13.34000,,,
1995.4028,-9.87000,,,
1995.4298,-4.12000,,,
1995.4569,-7.14000,,,
1995.4841,-12.60000,,,
1995.5384,-16.74000,,,
1995.5655,-12.73000,,,
1995.5927,-10.19000,,,
1995.6199,-7.46000,,,
1995.6470,-12.74000,,,
1995.6740,-14.22000,,,
1995.7013,-11.51000,,,
1995.7285,-4.48000,,,
1995.7556,-7.53000,,,
1995.7827,-9.19000,,,
1995.8371,-13.56000,,,
1995.8643,-12.67000,,,
1995.8899,-8.40000,,,
1995.9456,-5.52000,,,
1995.9728,-6.12000,,,
1995.9998,-11.67000,,,
1996.0270,-13.44000,,,
1996.0533,-10.93000,,,
1996.0814,-5.77000,,,
1996.1084,-1.98000,,,
1996.1631,-8.47000,,,
1996.1899,-11.55000,,,
1996.2171,-8.17000,,,
1996.2442,-3.77000,,,
1996.2714,-6.82000,,,
1996.2985,-11.08000,,,
1996.3257,-11.06000,,,
1996.3529,-8.28000,,,
1996.3800,-5.28000,,,
1996.4071,-2.92000,,,
1996.4342,-5.49000,,,
1996.4886,-10.86000,,,
1996.5157,-8.67000,,,
1996.5429,-4.10000,,,
1996.5700,-0.13000,,,
1996.5972,-3.74000,,,
1996.6244,-10.33000,,,
1996.6515,-12.02000,,,
1996.6786,-13.90000,,,
1996.7053,-8.03000,,,
1996.7335,-1.90000,,,
1996.7600,-1.36000,,,
1996.8144,4.46000,,,
1996.8415,4.61000,,,
1996.8687,1.46000,,,
1996.8959,-4.76000,,,
1996.9230,-7.15000,,,
1996.9501,-9.89000,,,
