#title = mean sea level anomaly Gulf of Mexico (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.86 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9606,-6.18000,,,
1992.9866,-2.36000,,,
1993.0119,-1.98000,,,
1993.0400,17.56000,,,
1993.0662,16.28000,,,
1993.0970,33.99000,,,
1993.1209,9.73000,,,
1993.1487,30.39000,,,
1993.1766,-3.05000,,,
1993.2040,-36.59000,,,
1993.2310,-26.25000,,,
1993.2850,-0.10000,,,
1993.3124,-27.56000,,,
1993.3396,-26.79000,,,
1993.3665,-12.10000,,,
1993.3936,-4.84000,,,
1993.4207,-18.63000,,,
1993.4484,12.46000,,,
1993.4760,15.96000,,,
1993.5011,1.18000,,,
1993.5297,9.01000,,,
1993.5841,6.21000,,,
1993.6125,-20.05000,,,
1993.6383,-10.33000,,,
1993.6653,-21.27000,,,
1993.6925,-26.51000,,,
1993.7193,5.84000,,,
1993.7469,11.93000,,,
1993.7741,-1.45000,,,
1993.8008,7.15000,,,
1993.8552,13.18000,,,
1993.8828,-17.24000,,,
1993.9095,-18.74000,,,
1993.9369,-2.82000,,,
1993.9637,-5.63000,,,
1993.9911,-21.17000,,,
1994.0178,-24.28000,,,
1994.0450,-25.83000,,,
1994.0722,-45.85000,,,
1994.0995,-20.73000,,,
1994.1273,9.27000,,,
1994.1536,18.84000,,,
1994.1808,-26.93000,,,
1994.2352,-45.64000,,,
1994.2626,-12.93000,,,
1994.2895,-15.57000,,,
1994.3169,-16.31000,,,
1994.3436,-33.81000,,,
1994.3709,-22.45000,,,
1994.3978,9.67000,,,
1994.4254,-5.22000,,,
1994.4524,-26.67000,,,
1994.5058,-6.82000,,,
1994.5335,-22.83000,,,
1994.5611,-47.66000,,,
1994.5878,-17.51000,,,
1994.6157,-15.94000,,,
1994.6427,-30.90000,,,
1994.6699,-21.67000,,,
1994.6968,-22.49000,,,
1994.7239,-45.08000,,,
1994.7516,-41.45000,,,
1994.7784,-37.93000,,,
1994.8057,-13.16000,,,
1994.8330,-20.45000,,,
1994.8867,-3.22000,,,
1994.9138,15.81000,,,
1994.9411,-1.29000,,,
1994.9685,1.92000,,,
1994.9951,-8.87000,,,
1995.0229,-10.02000,,,
1995.0495,-28.07000,,,
1995.0769,-35.76000,,,
1995.1042,-40.39000,,,
1995.1310,-26.43000,,,
1995.1586,-14.99000,,,
1995.2129,-5.84000,,,
1995.2398,-4.12000,,,
1995.2672,15.40000,,,
1995.2939,-0.72000,,,
1995.3212,-30.71000,,,
1995.3757,15.04000,,,
1995.4029,2.63000,,,
1995.4299,15.81000,,,
1995.4569,-11.41000,,,
1995.4840,2.19000,,,
1995.5385,4.69000,,,
1995.5656,0.64000,,,
1995.5927,26.86000,,,
1995.6200,17.59000,,,
1995.6468,21.75000,,,
1995.6740,2.21000,,,
1995.7013,2.52000,,,
1995.7292,2.37000,,,
1995.7553,36.91000,,,
1995.7823,10.54000,,,
1995.8369,-4.28000,,,
1995.8643,-7.50000,,,
1995.8915,-19.75000,,,
1995.9457,-8.84000,,,
1995.9726,-27.52000,,,
1995.9998,-37.35000,,,
1996.0273,-40.02000,,,
1996.0535,-0.16000,,,
1996.0806,5.41000,,,
1996.1084,-23.42000,,,
1996.1627,-38.56000,,,
1996.1898,-19.87000,,,
1996.2170,-44.51000,,,
1996.2453,-46.98000,,,
1996.2716,-48.33000,,,
1996.2984,-69.28000,,,
1996.3259,-59.69000,,,
1996.3528,-40.13000,,,
1996.3799,-35.26000,,,
1996.4071,-22.47000,,,
1996.4342,-52.43000,,,
1996.4887,-73.02000,,,
1996.5158,-51.57000,,,
1996.5439,-12.55000,,,
1996.5702,-10.00000,,,
1996.5975,-34.06000,,,
1996.6245,-46.65000,,,
1996.6515,-42.79000,,,
1996.6785,-55.00000,,,
1996.7064,-60.84000,,,
1996.7328,-36.85000,,,
1996.7601,14.18000,,,
1996.8146,-26.04000,,,
1996.8417,4.91000,,,
1996.8690,13.32000,,,
1996.8959,-3.41000,,,
1996.9229,-23.55000,,,
1996.9500,-26.04000,,,
1996.9780,-35.89000,,,
1997.0049,-28.68000,,,
1997.0317,5.43000,,,
1997.0587,8.80000,,,
1997.0862,5.18000,,,
1997.1405,-23.47000,,,
1997.1672,-1.59000,,,
1997.1945,23.97000,,,
1997.2219,6.27000,,,
1997.2485,-13.35000,,,
1997.2761,2.01000,,,
1997.3030,-4.27000,,,
1997.3307,-3.07000,,,
1997.3578,2.29000,,,
1997.3847,-18.06000,,,
1997.4118,-25.35000,,,
1997.4660,8.96000,,,
1997.4926,6.72000,,,
1997.5204,-4.64000,,,
1997.5475,4.31000,,,
1997.5749,5.10000,,,
1997.6291,-9.82000,,,
1997.6562,-4.81000,,,
1997.6831,-10.10000,,,
1997.7100,-2.92000,,,
1997.7373,-22.95000,,,
1997.7919,1.84000,,,
1997.8191,-8.94000,,,
1997.8460,-42.67000,,,
1997.8731,-29.54000,,,
1997.9001,-6.42000,,,
1997.9277,-57.96000,,,
1997.9544,-73.29000,,,
1997.9816,-55.82000,,,
1998.0077,-50.45000,,,
1998.0354,-28.56000,,,
1998.0911,15.08000,,,
1998.1174,12.13000,,,
1998.1448,4.99000,,,
1998.1717,34.62000,,,
1998.1990,40.09000,,,
1998.2263,-7.51000,,,
1998.2533,-30.51000,,,
1998.2790,-1.15000,,,
1998.3078,-3.88000,,,
1998.3348,-16.12000,,,
1998.3621,25.55000,,,
1998.4150,9.52000,,,
1998.4421,0.29000,,,
1998.4702,18.13000,,,
1998.4972,-17.12000,,,
1998.5245,-5.21000,,,
1998.5522,-13.47000,,,
1998.6063,-29.64000,,,
1998.6332,-22.11000,,,
1998.6601,11.15000,,,
1998.6879,15.50000,,,
1998.7143,7.49000,,,
1998.7413,-9.72000,,,
1998.7689,-28.20000,,,
1998.8238,25.78000,,,
1998.8511,8.08000,,,
1998.8777,-47.43000,,,
1998.9053,-53.11000,,,
1998.9322,-45.20000,,,
1998.9592,-1.13000,,,
1998.9860,3.84000,,,
1999.0126,5.74000,,,
1999.0406,-2.20000,,,
1999.0949,46.98000,,,
1999.1264,58.09000,,,
1999.1487,43.19000,,,
1999.1767,7.64000,,,
1999.2039,16.82000,,,
1999.2308,-16.12000,,,
1999.2578,-2.04000,,,
1999.2841,25.77000,,,
1999.3390,37.52000,,,
1999.3664,3.92000,,,
1999.3937,6.75000,,,
1999.4205,24.70000,,,
1999.4475,17.72000,,,
1999.4754,7.58000,,,
1999.5020,16.37000,,,
1999.5289,6.72000,,,
1999.5565,-8.66000,,,
1999.5836,2.37000,,,
1999.6109,21.40000,,,
1999.6382,11.61000,,,
1999.6922,8.27000,,,
1999.7195,21.50000,,,
1999.7460,49.31000,,,
1999.7736,36.14000,,,
1999.8016,14.55000,,,
1999.8278,17.33000,,,
1999.8550,20.31000,,,
1999.8823,1.34000,,,
1999.9095,31.46000,,,
1999.9633,27.26000,,,
1999.9911,-18.17000,,,
2000.0181,15.85000,,,
2000.0451,21.41000,,,
2000.0722,18.15000,,,
2000.0999,2.44000,,,
2000.1265,24.90000,,,
2000.1537,29.24000,,,
2000.1809,16.36000,,,
2000.2075,5.67000,,,
2000.2350,14.79000,,,
2000.2894,33.95000,,,
2000.3165,34.97000,,,
2000.3436,13.69000,,,
2000.3710,17.83000,,,
2000.3977,36.59000,,,
2000.4248,30.68000,,,
2000.4523,31.85000,,,
2000.4797,25.50000,,,
2000.5064,15.43000,,,
2000.5335,11.47000,,,
2000.5885,12.96000,,,
2000.6150,3.90000,,,
2000.6425,-17.93000,,,
2000.6692,-24.06000,,,
2000.6963,-7.17000,,,
2000.7243,-21.54000,,,
2000.7506,-17.78000,,,
2000.7787,15.98000,,,
2000.8051,12.45000,,,
2000.8595,22.01000,,,
2000.8862,25.05000,,,
2000.9146,0.91000,,,
2000.9412,-0.84000,,,
2000.9679,-8.60000,,,
2000.9949,-17.57000,,,
2001.0227,-21.11000,,,
2001.0767,-8.91000,,,
2001.1043,7.12000,,,
2001.1309,-8.34000,,,
2001.1580,-14.38000,,,
2001.1853,-18.78000,,,
2001.2121,-2.03000,,,
2001.2398,-22.62000,,,
2001.2668,-6.52000,,,
2001.2936,-4.96000,,,
2001.3208,-28.54000,,,
2001.3483,-1.14000,,,
2001.3751,4.44000,,,
2001.4023,-7.67000,,,
2001.4305,-18.69000,,,
2001.4561,-21.46000,,,
2001.4847,-9.26000,,,
2001.5110,-9.18000,,,
2001.5381,-6.80000,,,
2001.5657,7.71000,,,
2001.5927,5.36000,,,
2001.6195,-16.24000,,,
2001.6463,5.81000,,,
