#title = mean sea level anomaly Indian Ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.23 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-28.63000,,,
1992.9865,-12.44000,,,
1993.0121,2.11000,,,
1993.0405,-3.28000,,,
1993.0659,-14.73000,,,
1993.0974,-27.32000,,,
1993.1202,-22.65000,,,
1993.1491,-12.87000,,,
1993.1764,-17.58000,,,
1993.2035,-15.41000,,,
1993.2306,-26.71000,,,
1993.2850,-41.21000,,,
1993.3120,-27.65000,,,
1993.3392,-7.94000,,,
1993.3664,-7.99000,,,
1993.3934,-11.03000,,,
1993.4205,-16.19000,,,
1993.4478,-17.82000,,,
1993.4749,-17.52000,,,
1993.5021,-3.86000,,,
1993.5292,-4.46000,,,
1993.5837,-33.08000,,,
1993.6119,-31.35000,,,
1993.6378,-17.00000,,,
1993.6650,0.67000,,,
1993.6921,0.31000,,,
1993.7187,-16.48000,,,
1993.7464,-21.89000,,,
1993.7736,-16.64000,,,
1993.8007,-17.87000,,,
1993.8553,3.16000,,,
1993.8822,-12.20000,,,
1993.9097,-33.71000,,,
1993.9367,-28.07000,,,
1993.9637,-18.26000,,,
1993.9908,-16.57000,,,
1994.0179,-23.98000,,,
1994.0452,-20.70000,,,
1994.0721,-14.59000,,,
1994.0993,-18.49000,,,
1994.1265,-17.86000,,,
1994.1537,-19.20000,,,
1994.1806,-16.98000,,,
1994.2351,-14.64000,,,
1994.2622,-18.94000,,,
1994.2894,-18.44000,,,
1994.3167,-22.51000,,,
1994.3437,-6.15000,,,
1994.3708,-11.36000,,,
1994.3980,-21.74000,,,
1994.4251,-16.86000,,,
1994.4522,-7.77000,,,
1994.5065,-28.50000,,,
1994.5336,-21.02000,,,
1994.5608,-14.99000,,,
1994.5880,4.68000,,,
1994.6151,3.90000,,,
1994.6422,-10.06000,,,
1994.6694,-3.26000,,,
1994.6966,-8.40000,,,
1994.7238,-15.76000,,,
1994.7508,-11.32000,,,
1994.7781,-5.02000,,,
1994.8052,-6.10000,,,
1994.8323,-11.38000,,,
1994.8867,-12.78000,,,
1994.9138,-10.67000,,,
1994.9410,-8.63000,,,
1994.9682,-17.62000,,,
1994.9952,-6.11000,,,
1995.0224,6.49000,,,
1995.0496,-6.40000,,,
1995.0768,-13.79000,,,
1995.1038,-20.56000,,,
1995.1309,-20.01000,,,
1995.1581,-9.53000,,,
1995.2125,-17.03000,,,
1995.2397,-8.36000,,,
1995.2667,-2.41000,,,
1995.2939,-7.56000,,,
1995.3210,-3.18000,,,
1995.3753,-15.41000,,,
1995.4027,-18.03000,,,
1995.4296,17.68000,,,
1995.4567,-1.41000,,,
1995.4838,-18.58000,,,
1995.5383,-24.55000,,,
1995.5653,-6.88000,,,
1995.5925,-5.16000,,,
1995.6195,-13.40000,,,
1995.6467,-21.33000,,,
1995.6741,-8.30000,,,
1995.7010,-11.71000,,,
1995.7283,5.85000,,,
1995.7555,-7.77000,,,
1995.7825,-15.51000,,,
1995.8369,-6.44000,,,
1995.8641,-13.08000,,,
1995.8898,-24.67000,,,
1995.9455,-19.29000,,,
1995.9726,-2.56000,,,
1996.0001,-1.47000,,,
1996.0268,-0.32000,,,
1996.0530,-9.06000,,,
1996.0813,-16.18000,,,
1996.1082,3.48000,,,
1996.1630,-12.56000,,,
1996.1898,-8.47000,,,
1996.2170,-5.99000,,,
1996.2442,2.93000,,,
1996.2712,-11.57000,,,
