#title = mean sea level anomaly Indonesian (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.35 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9615,-46.75000,,,
1992.9867,-45.81000,,,
1993.0125,-61.42000,,,
1993.0400,-76.99000,,,
1993.0665,-68.44000,,,
1993.0971,-36.32000,,,
1993.1210,-51.92000,,,
1993.1491,-54.93000,,,
1993.1762,-87.58000,,,
1993.2037,-85.07000,,,
1993.2306,-85.25000,,,
1993.2853,-97.39000,,,
1993.3124,-99.94000,,,
1993.4208,-98.72000,,,
1993.4479,-83.12000,,,
1993.4753,-76.87000,,,
1993.5012,-72.08000,,,
1993.5294,-64.60000,,,
1993.5835,-68.27000,,,
1993.6113,-65.21000,,,
1993.6379,-75.12000,,,
1993.6653,-66.76000,,,
1993.6921,-64.66000,,,
1993.7193,-86.20000,,,
1993.7465,-91.06000,,,
1993.7734,-78.26000,,,
1993.8010,-68.98000,,,
1993.8551,-78.70000,,,
1993.8825,-72.57000,,,
1993.9097,-78.49000,,,
1993.9372,-79.69000,,,
1993.9639,-39.38000,,,
1993.9910,-22.09000,,,
1994.0178,-49.22000,,,
1994.0452,-59.21000,,,
1994.0718,-40.83000,,,
1994.0992,-69.04000,,,
1994.1268,-40.08000,,,
1994.1539,-7.83000,,,
1994.1805,-24.06000,,,
1994.2355,-24.58000,,,
1994.2623,-20.19000,,,
1994.2897,-43.59000,,,
1994.3169,-51.79000,,,
1994.3444,-50.97000,,,
1994.3707,-71.86000,,,
1994.3979,-83.06000,,,
1994.4253,-66.18000,,,
1994.4524,-58.19000,,,
1994.5063,-79.21000,,,
1994.5339,-64.95000,,,
1994.5610,-92.81000,,,
1994.5881,-92.21000,,,
1994.7239,-97.42000,,,
1994.7509,-73.99000,,,
1994.7783,-79.51000,,,
1994.8055,-86.83000,,,
1994.8325,-82.54000,,,
1994.8871,-98.39000,,,
1994.9140,-93.08000,,,
1994.9414,-67.40000,,,
1994.9684,-80.92000,,,
1995.0226,-89.70000,,,
1995.0496,-68.71000,,,
1995.0770,-46.47000,,,
1995.1036,-48.37000,,,
1995.1312,-69.44000,,,
1995.1580,-40.96000,,,
1995.2125,-55.15000,,,
1995.2396,-47.32000,,,
1995.2667,-31.07000,,,
1995.2941,-37.35000,,,
1995.3210,-42.24000,,,
1995.3757,-43.39000,,,
1995.4025,-48.83000,,,
1995.4299,-45.09000,,,
1995.4571,-48.78000,,,
1995.4842,-60.59000,,,
1995.5385,-16.73000,,,
1995.5658,-30.03000,,,
1995.5926,-50.64000,,,
1995.6198,-49.27000,,,
1995.6470,-43.63000,,,
1995.6733,-9.82000,,,
1995.7012,-13.49000,,,
1995.7286,5.66000,,,
1995.7555,3.66000,,,
1995.7830,-3.58000,,,
1995.8369,-0.83000,,,
1995.8642,14.68000,,,
1995.8906,33.47000,,,
1995.9461,74.87000,,,
1995.9726,48.85000,,,
1995.9988,15.31000,,,
1996.0266,10.47000,,,
1996.0534,-2.32000,,,
1996.0812,-0.63000,,,
1996.1086,-4.37000,,,
1996.1630,21.00000,,,
1996.1902,-10.83000,,,
1996.2170,-27.97000,,,
1996.2442,-18.03000,,,
1996.2712,8.40000,,,
1996.2985,11.32000,,,
1996.3256,16.31000,,,
1996.3528,29.11000,,,
1996.3803,14.65000,,,
1996.4073,13.21000,,,
1996.4343,18.31000,,,
1996.4885,25.21000,,,
1996.5158,26.72000,,,
1996.5431,48.52000,,,
1996.5699,40.92000,,,
1996.5974,31.79000,,,
1996.6241,35.65000,,,
1996.6511,41.14000,,,
1996.6787,36.56000,,,
1996.7053,47.78000,,,
1996.7343,50.81000,,,
1996.7598,47.50000,,,
1996.8145,53.86000,,,
1996.8416,59.76000,,,
1996.8686,42.43000,,,
1996.8959,43.43000,,,
1996.9233,40.61000,,,
1996.9497,30.62000,,,
1996.9771,53.20000,,,
1997.0043,55.12000,,,
1997.0312,16.20000,,,
1997.0585,-2.01000,,,
1997.0861,2.71000,,,
1997.1401,51.81000,,,
1997.1675,58.66000,,,
1997.1944,-8.74000,,,
1997.2220,-31.69000,,,
1997.2486,-28.45000,,,
1997.2759,-65.33000,,,
1997.3031,-78.01000,,,
1997.3300,-66.47000,,,
1997.3574,-63.50000,,,
1997.3846,-58.33000,,,
1997.4116,-29.37000,,,
1997.4658,-78.61000,,,
1997.4919,-77.70000,,,
1997.5204,-68.95000,,,
1997.5474,-81.36000,,,
1997.5745,-89.89000,,,
1997.6828,-92.16000,,,
1998.1718,-82.88000,,,
1998.2256,-75.80000,,,
1998.2531,-90.31000,,,
1998.2789,-74.57000,,,
1998.3079,-42.05000,,,
1998.3347,-36.71000,,,
1998.3612,-38.40000,,,
1998.4157,11.38000,,,
1998.4437,20.38000,,,
1998.4706,34.19000,,,
1998.4977,41.34000,,,
1998.5246,31.40000,,,
1998.5509,41.48000,,,
1998.6061,53.90000,,,
1998.6330,51.54000,,,
1998.6604,55.32000,,,
1998.6876,48.69000,,,
1998.7145,43.84000,,,
1998.7420,71.18000,,,
1998.7687,94.46000,,,
1998.8233,100.74000,,,
1998.8504,103.76000,,,
1998.8775,110.85000,,,
1998.9044,95.71000,,,
1998.9318,107.25000,,,
1998.9591,76.79000,,,
1998.9861,78.61000,,,
1999.0126,52.26000,,,
1999.0407,69.84000,,,
1999.0947,68.82000,,,
1999.1264,103.01000,,,
1999.1491,82.67000,,,
1999.1760,53.30000,,,
1999.2035,47.20000,,,
1999.2308,73.18000,,,
1999.2568,89.18000,,,
1999.2853,90.01000,,,
1999.3391,54.57000,,,
1999.3662,53.31000,,,
1999.3932,70.38000,,,
1999.4204,72.60000,,,
1999.4478,63.94000,,,
1999.4750,47.70000,,,
1999.5020,33.33000,,,
1999.5293,41.97000,,,
1999.5563,27.57000,,,
1999.5835,37.43000,,,
1999.6101,19.14000,,,
1999.6378,27.09000,,,
1999.6921,26.44000,,,
1999.7193,35.20000,,,
1999.7462,39.37000,,,
1999.7733,64.28000,,,
1999.8007,77.97000,,,
1999.8273,82.93000,,,
1999.8547,85.78000,,,
1999.8816,79.41000,,,
1999.9091,68.63000,,,
1999.9633,84.88000,,,
1999.9904,96.83000,,,
2000.0183,55.10000,,,
2000.0450,40.11000,,,
2000.0723,62.65000,,,
2000.0992,62.16000,,,
2000.1262,75.50000,,,
2000.1533,99.53000,,,
2000.1805,93.64000,,,
2000.2078,91.68000,,,
2000.2347,102.68000,,,
2000.2893,105.00000,,,
2000.3166,114.31000,,,
2000.3437,78.97000,,,
2000.3707,81.24000,,,
2000.3976,77.41000,,,
2000.4250,53.19000,,,
2000.4523,50.87000,,,
2000.4796,55.67000,,,
2000.5063,58.29000,,,
2000.5336,79.25000,,,
2000.5876,56.32000,,,
2000.6149,57.03000,,,
2000.6420,70.30000,,,
2000.6692,68.06000,,,
2000.6965,49.25000,,,
2000.7235,59.72000,,,
2000.7507,67.70000,,,
2000.7778,68.12000,,,
2000.8051,57.96000,,,
2000.8597,65.61000,,,
2000.8858,59.45000,,,
2000.9148,78.83000,,,
2000.9408,97.18000,,,
2000.9678,64.23000,,,
2000.9952,46.88000,,,
2001.0225,49.31000,,,
2001.0764,47.56000,,,
2001.1040,96.83000,,,
2001.1311,121.75000,,,
2001.1582,104.05000,,,
2001.1851,88.51000,,,
2001.2125,70.95000,,,
2001.2388,53.53000,,,
2001.2668,68.45000,,,
2001.2938,54.16000,,,
2001.3209,43.43000,,,
2001.3481,59.72000,,,
2001.3753,56.75000,,,
2001.4018,34.76000,,,
2001.4294,51.08000,,,
2001.4563,52.06000,,,
2001.4837,41.90000,,,
2001.5109,43.62000,,,
