#title = mean sea level anomaly North Atlantic (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.61 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9620,-18.43000,,,
1992.9873,-10.31000,,,
1993.0129,-17.66000,,,
1993.0413,-0.71000,,,
1993.0667,-20.29000,,,
1993.0978,-11.85000,,,
1993.1213,-8.08000,,,
1993.1501,-15.98000,,,
1993.1773,-18.97000,,,
1993.2041,-10.48000,,,
1993.2315,-25.41000,,,
1993.2857,-11.39000,,,
1993.3129,-19.92000,,,
1993.3400,-20.60000,,,
1993.3672,-10.59000,,,
1993.3943,-11.29000,,,
1993.4213,-23.09000,,,
1993.4486,-12.31000,,,
1993.4759,-25.47000,,,
1993.5027,-18.51000,,,
1993.5301,-15.73000,,,
1993.5843,-20.11000,,,
1993.6121,-24.86000,,,
1993.6389,-12.98000,,,
1993.6659,-21.43000,,,
1993.6929,-23.62000,,,
1993.7195,-20.05000,,,
1993.7471,-20.09000,,,
1993.7743,-16.58000,,,
1993.8016,-22.56000,,,
1993.8559,-12.66000,,,
1993.8829,-23.76000,,,
1993.9103,-13.32000,,,
1993.9371,-12.84000,,,
1993.9646,-17.26000,,,
1993.9912,-6.01000,,,
1994.0188,-22.14000,,,
1994.0454,-22.84000,,,
1994.0729,-31.41000,,,
1994.1001,-23.26000,,,
1994.1272,-21.62000,,,
1994.1545,-18.12000,,,
1994.1817,-22.56000,,,
1994.2358,-25.84000,,,
1994.2632,-14.73000,,,
1994.2902,-29.08000,,,
1994.3175,-18.32000,,,
1994.3444,-8.69000,,,
1994.3717,-7.51000,,,
1994.3988,-6.13000,,,
1994.4259,-15.27000,,,
1994.4531,-16.36000,,,
1994.5073,-4.50000,,,
1994.5345,-31.54000,,,
1994.5616,-37.85000,,,
1994.5889,-15.88000,,,
1994.6159,-15.75000,,,
1994.6431,-17.95000,,,
1994.6703,-10.95000,,,
1994.6974,-4.69000,,,
1994.7246,-13.89000,,,
1994.7517,-9.04000,,,
1994.7787,-11.49000,,,
1994.8062,-17.23000,,,
1994.8332,-16.75000,,,
1994.8875,-1.85000,,,
1994.9145,-6.77000,,,
1994.9418,0.16000,,,
1994.9691,-2.27000,,,
1994.9964,-12.59000,,,
1995.0234,-10.26000,,,
1995.0503,-13.25000,,,
1995.0772,-17.60000,,,
1995.1044,-14.87000,,,
1995.1318,3.10000,,,
1995.1587,18.68000,,,
1995.2132,-14.68000,,,
1995.2406,-5.56000,,,
1995.2675,3.63000,,,
1995.2947,8.80000,,,
1995.3218,0.57000,,,
1995.3761,11.15000,,,
1995.4033,8.69000,,,
1995.4304,-2.96000,,,
1995.4576,-7.05000,,,
1995.4847,-20.98000,,,
1995.5391,-7.53000,,,
1995.5662,-13.75000,,,
1995.5933,-9.56000,,,
1995.6204,15.54000,,,
1995.6476,4.72000,,,
1995.6746,-3.30000,,,
1995.7019,-3.72000,,,
1995.7291,1.70000,,,
1995.7562,8.58000,,,
1995.7834,6.77000,,,
1995.8377,-12.79000,,,
1995.8648,-6.60000,,,
1995.8905,-3.95000,,,
1995.9462,0.79000,,,
1995.9736,-10.47000,,,
1996.0002,-26.13000,,,
1996.0280,-20.19000,,,
1996.0543,-19.34000,,,
1996.0817,-17.25000,,,
1996.1092,-15.87000,,,
1996.1637,-7.20000,,,
1996.1904,-12.15000,,,
1996.2177,-21.67000,,,
1996.2448,-28.76000,,,
1996.2720,-7.73000,,,
1996.2993,-15.25000,,,
1996.3263,-6.99000,,,
1996.3536,-7.53000,,,
1996.3805,-0.83000,,,
1996.4077,11.99000,,,
1996.4347,-16.73000,,,
1996.4891,-27.52000,,,
1996.5164,-5.40000,,,
1996.5434,5.79000,,,
1996.5707,8.28000,,,
1996.5980,-20.74000,,,
1996.6251,-13.81000,,,
1996.6521,-6.98000,,,
1996.6792,-1.88000,,,
1996.7057,-5.97000,,,
1996.7339,4.22000,,,
1996.7607,3.26000,,,
1996.8152,5.37000,,,
1996.8422,2.62000,,,
1996.8691,8.50000,,,
1996.8965,-9.00000,,,
1996.9237,-13.86000,,,
1996.9509,-11.08000,,,
1996.9773,-10.14000,,,
1997.0050,-8.55000,,,
1997.0323,15.47000,,,
1997.0593,23.45000,,,
1997.0864,2.03000,,,
1997.1413,-17.06000,,,
1997.1675,-5.43000,,,
1997.1952,14.34000,,,
1997.2222,-0.70000,,,
1997.2493,-12.66000,,,
1997.2765,-11.62000,,,
1997.3037,-6.64000,,,
1997.3309,5.81000,,,
1997.3578,14.10000,,,
1997.3852,13.70000,,,
1997.4122,1.84000,,,
1997.4665,-18.48000,,,
1997.4935,-6.89000,,,
1997.5208,-15.77000,,,
1997.5479,-10.97000,,,
1997.5751,-11.44000,,,
1997.6293,-16.06000,,,
1997.6566,-7.94000,,,
1997.6835,2.15000,,,
1997.7109,-1.61000,,,
1997.7381,-11.56000,,,
1997.7922,-4.87000,,,
1997.8194,-10.90000,,,
1997.8465,-11.07000,,,
1997.8737,-10.59000,,,
1997.9008,-27.28000,,,
1997.9280,-31.32000,,,
1997.9550,-28.73000,,,
1997.9822,-23.71000,,,
1998.0094,-7.90000,,,
1998.0367,9.36000,,,
1998.0910,-26.03000,,,
1998.1180,-6.95000,,,
1998.1452,-10.66000,,,
1998.1723,-2.50000,,,
1998.1995,0.32000,,,
1998.2267,-21.96000,,,
1998.2540,0.72000,,,
1998.2797,-7.66000,,,
1998.3081,3.45000,,,
1998.3353,9.19000,,,
1998.3624,18.84000,,,
1998.4164,-8.88000,,,
1998.4438,-12.70000,,,
1998.4710,5.75000,,,
1998.4982,10.63000,,,
1998.5253,20.31000,,,
1998.5525,22.42000,,,
1998.6068,-1.43000,,,
1998.6339,9.77000,,,
1998.6611,19.03000,,,
1998.6880,17.78000,,,
1998.7154,14.82000,,,
1998.7424,-10.29000,,,
1998.7693,-4.72000,,,
1998.8239,23.92000,,,
1998.8508,8.08000,,,
1998.8782,-3.37000,,,
1998.9052,-4.92000,,,
1998.9324,-4.14000,,,
1998.9599,16.88000,,,
1998.9867,21.09000,,,
1999.0142,16.66000,,,
1999.0411,5.63000,,,
1999.0956,22.58000,,,
1999.1263,22.47000,,,
1999.1495,31.80000,,,
1999.1768,10.85000,,,
1999.2041,16.92000,,,
1999.2310,-9.66000,,,
1999.2584,4.85000,,,
1999.2853,30.71000,,,
1999.3399,16.51000,,,
1999.3668,1.87000,,,
1999.3939,-0.42000,,,
1999.4213,15.71000,,,
1999.4483,19.07000,,,
1999.4755,14.15000,,,
1999.5026,21.12000,,,
1999.5297,16.81000,,,
1999.5569,14.69000,,,
1999.5841,23.06000,,,
1999.6112,22.45000,,,
1999.6383,23.71000,,,
1999.6926,14.14000,,,
1999.7197,10.33000,,,
1999.7466,21.24000,,,
1999.7741,6.72000,,,
1999.8012,12.00000,,,
1999.8285,5.00000,,,
1999.8556,15.47000,,,
1999.8827,9.08000,,,
