#title = mean sea level anomaly North Pacific (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.86 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9611,19.09000,,,
1992.9865,-8.81000,,,
1993.0126,-17.21000,,,
1993.0408,-44.01000,,,
1993.0659,-61.71000,,,
1993.0973,-82.91000,,,
1993.1212,-64.31000,,,
1993.1496,-58.11000,,,
1993.1768,-43.71000,,,
1993.2040,-54.31000,,,
1993.2308,-45.31000,,,
1993.2852,-47.81000,,,
1993.3125,-38.01000,,,
1993.3395,-40.11000,,,
1993.3667,-38.51000,,,
1993.3938,-51.31000,,,
1993.4209,-50.51000,,,
1993.4480,-36.61000,,,
1993.4753,-21.01000,,,
1993.5020,-16.01000,,,
1993.5295,-2.51000,,,
1993.5836,16.09000,,,
1993.6119,26.89000,,,
1993.6381,47.59000,,,
1993.6653,42.29000,,,
1993.6925,26.49000,,,
1993.7193,23.49000,,,
1993.7468,44.89000,,,
1993.7740,41.89000,,,
1993.8010,45.29000,,,
1993.8553,23.39000,,,
1993.8826,17.29000,,,
1993.9099,2.79000,,,
1993.9366,12.99000,,,
1993.9638,13.49000,,,
1993.9906,2.29000,,,
1994.0180,-16.11000,,,
1994.0455,-29.11000,,,
1994.0722,-38.81000,,,
1994.0997,-49.11000,,,
1994.1268,-38.61000,,,
1994.1542,-45.51000,,,
1994.1808,-48.31000,,,
1994.2354,-65.81000,,,
1994.2626,-45.51000,,,
1994.2898,-43.01000,,,
1994.3169,-42.81000,,,
1994.3440,-49.71000,,,
1994.3712,-49.31000,,,
1994.3981,-49.51000,,,
1994.4253,-37.91000,,,
1994.4525,-24.91000,,,
1994.5067,-18.61000,,,
1994.5340,8.69000,,,
1994.5611,8.69000,,,
1994.5882,9.59000,,,
1994.6155,31.99000,,,
1994.6426,57.29000,,,
1994.6697,61.69000,,,
1994.6968,73.89000,,,
1994.7240,71.49000,,,
1994.7511,42.79000,,,
1994.7783,53.99000,,,
1994.8055,55.79000,,,
1994.8325,61.59000,,,
1994.8869,37.99000,,,
1994.9141,12.79000,,,
1994.9412,20.79000,,,
1994.9686,18.49000,,,
1994.9954,-11.11000,,,
1995.0227,-50.41000,,,
1995.0497,-38.21000,,,
1995.0770,-47.21000,,,
1995.1041,-39.71000,,,
1995.1314,-40.21000,,,
1995.1585,-64.31000,,,
1995.2128,-70.71000,,,
1995.2399,-56.71000,,,
1995.2671,-53.01000,,,
1995.2943,-36.21000,,,
1995.3214,-37.41000,,,
1995.3756,-45.21000,,,
1995.4029,-36.01000,,,
1995.4300,-36.71000,,,
1995.4570,-23.71000,,,
1995.4843,-26.61000,,,
1995.5384,-16.81000,,,
1995.5657,-5.21000,,,
1995.5929,-3.01000,,,
1995.6200,15.29000,,,
1995.6470,19.79000,,,
1995.6742,30.89000,,,
1995.7013,48.89000,,,
