#title = mean sea level anomaly Pacific Ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.76 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-13.22000,,,
1992.9864,-24.49000,,,
1993.0122,-20.79000,,,
1993.0405,-29.14000,,,
1993.0659,-29.60000,,,
1993.0974,-31.38000,,,
1993.1205,-25.60000,,,
1993.1491,-19.33000,,,
1993.1765,-12.76000,,,
1993.2036,-16.13000,,,
1993.2307,-11.60000,,,
1993.2850,-17.23000,,,
1993.3122,-9.04000,,,
1993.3394,-15.66000,,,
1993.3665,-13.96000,,,
1993.3936,-18.11000,,,
1993.4207,-18.30000,,,
1993.4480,-16.76000,,,
1993.4751,-3.62000,,,
1993.5021,-7.66000,,,
1993.5294,-10.07000,,,
1993.5836,-16.49000,,,
1993.6116,-8.96000,,,
1993.6380,-10.78000,,,
1993.6651,-10.47000,,,
1993.6922,-14.29000,,,
1993.7188,-22.08000,,,
1993.7465,-19.70000,,,
1993.7738,-15.96000,,,
1993.8009,-14.60000,,,
1993.8552,-19.85000,,,
1993.8824,-20.28000,,,
1993.9096,-10.91000,,,
1993.9366,-9.27000,,,
1993.9637,-1.72000,,,
1993.9905,-3.84000,,,
1994.0180,-12.25000,,,
1994.0452,-11.58000,,,
1994.0723,-11.38000,,,
1994.0995,-15.59000,,,
1994.1266,-16.05000,,,
1994.1538,-12.87000,,,
1994.1809,-6.59000,,,
1994.2352,-12.30000,,,
1994.2624,-7.95000,,,
1994.2895,-5.00000,,,
1994.3166,0.29000,,,
1994.3438,-13.63000,,,
1994.3710,-19.45000,,,
1994.3981,-25.04000,,,
1994.4252,-14.77000,,,
1994.4524,-4.68000,,,
1994.5067,-15.68000,,,
1994.5338,-1.61000,,,
1994.5610,-4.21000,,,
1994.5881,-15.77000,,,
1994.6153,-10.37000,,,
1994.6425,-1.50000,,,
1994.6696,-11.13000,,,
1994.6966,-13.98000,,,
1994.7239,-14.10000,,,
1994.7510,-20.24000,,,
1994.7781,-14.93000,,,
1994.8053,-4.71000,,,
1994.8325,-5.76000,,,
1994.8868,-20.51000,,,
1994.9139,-18.96000,,,
1994.9411,-0.92000,,,
1994.9683,3.19000,,,
1994.9954,-5.18000,,,
1995.0225,-16.85000,,,
1995.0496,-10.93000,,,
1995.0768,5.14000,,,
1995.1040,1.99000,,,
1995.1311,-5.18000,,,
1995.1583,-15.71000,,,
1995.2126,0.94000,,,
1995.2397,-11.70000,,,
1995.2668,-10.43000,,,
1995.2940,-8.47000,,,
1995.3212,-11.37000,,,
1995.3755,-20.95000,,,
1995.4027,-12.18000,,,
1995.4297,-10.65000,,,
1995.4569,-10.01000,,,
1995.4840,-9.96000,,,
1995.5383,-17.87000,,,
1995.5655,-13.29000,,,
1995.5926,-8.94000,,,
1995.6198,-10.22000,,,
1995.6470,-12.71000,,,
1995.6739,-15.88000,,,
1995.7012,-9.17000,,,
1995.7284,-8.41000,,,
1995.7555,-12.17000,,,
1995.7827,-8.69000,,,
1995.8370,-16.11000,,,
1995.8642,-13.81000,,,
1995.8898,-5.42000,,,
1995.9455,-10.50000,,,
1995.9727,-12.12000,,,
1995.9998,-17.64000,,,
1996.0269,-21.06000,,,
1996.0533,-9.89000,,,
1996.0813,-3.66000,,,
1996.1084,-0.23000,,,
1996.1630,-9.25000,,,
1996.1899,-14.55000,,,
1996.2171,-5.58000,,,
1996.2442,0.61000,,,
1996.2713,-5.31000,,,
1996.2984,-6.94000,,,
1996.3256,-8.74000,,,
1996.3528,-11.29000,,,
1996.3799,-9.26000,,,
1996.4070,-10.12000,,,
1996.4342,-0.34000,,,
1996.4886,-6.05000,,,
