#title = mean sea level anomaly South China Sea (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.43 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9609,-71.21000,,,
1992.9859,-75.25000,,,
1993.0108,-67.88000,,,
1993.0382,-31.17000,,,
1993.0654,-15.08000,,,
1993.0967,-31.64000,,,
1993.1197,-77.56000,,,
1993.1472,-65.28000,,,
1993.1759,-15.73000,,,
1993.2029,-45.99000,,,
1993.2297,-30.33000,,,
1993.2843,1.63000,,,
1993.3117,-62.32000,,,
1993.3391,-42.07000,,,
1993.3657,-43.14000,,,
1993.3933,-42.90000,,,
1993.4205,-61.90000,,,
1993.4474,-48.60000,,,
1993.4745,-48.48000,,,
1993.5012,-26.06000,,,
1993.5289,-18.18000,,,
1993.5834,-38.12000,,,
1993.6102,-29.72000,,,
1993.6374,-37.85000,,,
1993.6646,-23.74000,,,
1993.6917,-41.92000,,,
1993.7186,-63.93000,,,
1993.7462,-46.69000,,,
1993.7735,1.53000,,,
1993.8005,-34.25000,,,
1993.8547,-50.50000,,,
1993.8816,-76.34000,,,
1993.9095,-54.53000,,,
1993.9362,-50.30000,,,
1993.9632,23.77000,,,
1993.9904,6.46000,,,
1994.0177,-79.06000,,,
1994.0444,-44.71000,,,
1994.0720,-17.20000,,,
1994.0990,-69.08000,,,
1994.1262,-74.58000,,,
1994.1533,-29.15000,,,
1994.1806,-15.95000,,,
1994.2349,17.34000,,,
1994.2617,-41.42000,,,
1994.2891,-11.79000,,,
1994.3162,-27.04000,,,
1994.3433,-21.43000,,,
1994.3706,-47.05000,,,
1994.3975,-37.76000,,,
1994.4246,-15.97000,,,
1994.4518,-37.41000,,,
1994.5053,-42.67000,,,
1994.5335,-11.86000,,,
1994.5604,-31.32000,,,
1994.5880,-33.61000,,,
1994.6150,-61.15000,,,
1994.6420,-16.90000,,,
1994.6691,-41.95000,,,
1994.6965,-44.69000,,,
1994.7233,-37.36000,,,
1994.7504,-18.43000,,,
1994.7778,-41.20000,,,
1994.8049,-5.54000,,,
