#title = mean sea level anomaly Sea of Japan (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.94 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9598,-68.45000,,,
1992.9858,-31.70000,,,
1993.0129,0.70000,,,
1993.0410,19.91000,,,
1993.0673,-66.65000,,,
1993.0968,-96.13000,,,
1993.1215,-73.43000,,,
1993.1496,-18.30000,,,
1993.1760,-24.37000,,,
1993.2029,5.73000,,,
1993.2303,25.84000,,,
1993.2848,40.02000,,,
1993.3118,39.30000,,,
1993.3390,-2.51000,,,
1993.3666,7.93000,,,
1993.3935,-6.32000,,,
1993.4202,-1.51000,,,
1993.4473,-70.99000,,,
1993.4749,-70.24000,,,
1993.5002,-48.52000,,,
1993.5290,-18.73000,,,
1993.5844,-84.12000,,,
1993.6119,-79.98000,,,
1993.6372,-67.44000,,,
1993.6646,-84.38000,,,
1993.6922,-77.90000,,,
1993.7190,-73.97000,,,
1993.7462,-12.12000,,,
1993.7736,-6.61000,,,
1993.8005,4.97000,,,
1993.8547,-70.42000,,,
1993.8820,-20.54000,,,
1993.9361,-81.37000,,,
1993.9632,-54.94000,,,
1993.9906,-20.26000,,,
1994.0174,-28.59000,,,
1994.0447,27.99000,,,
1994.0720,-2.15000,,,
1994.0989,-47.02000,,,
1994.1261,-26.27000,,,
1994.1542,-19.38000,,,
1994.1803,-6.70000,,,
1994.2352,-6.93000,,,
1994.2621,-5.95000,,,
1994.2897,14.06000,,,
1994.3175,45.23000,,,
1994.3440,-19.77000,,,
1994.3706,-80.30000,,,
1994.3970,-34.56000,,,
1994.4246,-33.91000,,,
1994.4519,-35.20000,,,
1994.5056,-61.50000,,,
1994.5336,-36.04000,,,
1994.5614,-21.68000,,,
1994.5878,9.57000,,,
1994.6158,44.04000,,,
1994.6417,46.44000,,,
1994.6700,29.69000,,,
1994.6965,15.00000,,,
1994.7235,12.21000,,,
1994.7500,-57.45000,,,
1994.7776,-32.16000,,,
1994.8050,-28.44000,,,
1994.8320,-18.04000,,,
1994.8866,-8.14000,,,
1994.9134,-46.10000,,,
1994.9409,-1.27000,,,
1994.9677,4.43000,,,
1994.9949,6.91000,,,
1995.0220,-64.85000,,,
1995.0490,-7.58000,,,
1995.0755,36.93000,,,
1995.1034,31.88000,,,
1995.1305,47.98000,,,
1995.1579,33.92000,,,
1995.2126,-14.88000,,,
1995.2389,-20.75000,,,
1995.2670,-33.62000,,,
1995.2938,25.24000,,,
1995.3208,7.66000,,,
1995.3742,6.34000,,,
1995.4022,0.46000,,,
1995.4293,-38.62000,,,
1995.4563,-32.48000,,,
1995.4837,-20.14000,,,
1995.5380,-33.99000,,,
1995.5655,-7.07000,,,
1995.5931,-50.53000,,,
1995.6193,-67.18000,,,
1995.6464,-33.84000,,,
1995.6740,-90.23000,,,
1995.7010,-94.61000,,,
1995.7280,-2.84000,,,
1995.7543,2.81000,,,
1995.7824,-3.66000,,,
1995.8909,-32.81000,,,
1995.9451,32.07000,,,
1995.9722,7.70000,,,
1995.9977,-32.98000,,,
1996.0267,-24.89000,,,
1996.0525,-4.03000,,,
1996.0805,-30.83000,,,
1996.1074,-49.44000,,,
1996.1627,-65.53000,,,
1996.1897,-67.22000,,,
1996.2164,-74.01000,,,
1996.2432,-38.40000,,,
1996.2711,-43.19000,,,
1996.2983,-14.95000,,,
1996.3251,-19.88000,,,
1996.3523,16.73000,,,
1996.3792,-1.45000,,,
1996.4065,-20.72000,,,
1996.4327,2.01000,,,
1996.4876,-41.81000,,,
1996.5152,-95.11000,,,
1996.5426,-21.33000,,,
1996.5695,-25.33000,,,
1996.5967,-30.92000,,,
1996.6237,-26.24000,,,
1996.6510,-50.24000,,,
1996.6789,-47.01000,,,
1996.7054,-27.84000,,,
1996.7333,7.94000,,,
1996.7598,34.36000,,,
1996.8139,14.38000,,,
1996.8414,21.29000,,,
1996.8683,28.57000,,,
1996.8953,-8.78000,,,
1996.9225,-17.42000,,,
1996.9498,-56.62000,,,
1996.9767,-32.92000,,,
1997.0038,9.58000,,,
1997.0312,-20.15000,,,
1997.0584,-7.28000,,,
1997.0855,32.54000,,,
1997.1396,41.61000,,,
1997.1666,48.02000,,,
1997.1939,26.69000,,,
1997.2211,15.75000,,,
1997.2483,-31.41000,,,
1997.2757,-9.02000,,,
1997.3027,14.44000,,,
1997.3298,20.50000,,,
1997.3566,-8.49000,,,
1997.3841,3.26000,,,
1997.4114,19.62000,,,
1997.4656,-24.75000,,,
1997.4925,20.66000,,,
1997.5200,40.46000,,,
1997.5470,14.10000,,,
1997.5746,21.66000,,,
1997.6280,11.55000,,,
1997.6552,8.73000,,,
1997.6832,9.96000,,,
1997.7099,-45.03000,,,
1997.7370,5.15000,,,
1997.7913,-57.81000,,,
1997.8185,-55.28000,,,
1997.8456,-69.51000,,,
1997.8728,-59.45000,,,
1997.8996,-16.35000,,,
1997.9269,-62.50000,,,
1997.9541,-75.59000,,,
1997.9810,5.77000,,,
1998.0083,17.63000,,,
1998.0355,1.67000,,,
1998.0896,-9.06000,,,
1998.1171,8.11000,,,
1998.1440,-12.90000,,,
1998.1714,55.87000,,,
1998.1985,50.79000,,,
1998.2263,15.28000,,,
1998.2526,-9.74000,,,
1998.2781,-15.10000,,,
1998.3070,-4.48000,,,
1998.3351,30.64000,,,
1998.3612,15.41000,,,
1998.4159,24.74000,,,
1998.4425,46.15000,,,
1998.4705,79.84000,,,
1998.4969,82.78000,,,
1998.5255,25.83000,,,
1998.5515,28.57000,,,
1998.6064,12.87000,,,
1998.6333,-44.63000,,,
1998.6595,-28.90000,,,
1998.6869,-32.16000,,,
1998.7138,-30.84000,,,
1998.7413,-37.78000,,,
1998.7687,-17.75000,,,
1998.8230,13.93000,,,
1998.8500,-15.39000,,,
1998.8772,0.05000,,,
1998.9045,-18.02000,,,
1998.9315,-32.45000,,,
1998.9584,-62.85000,,,
1998.9855,23.85000,,,
1999.0133,-1.30000,,,
1999.0397,-7.09000,,,
1999.0942,-15.53000,,,
1999.1266,-41.94000,,,
1999.1481,-20.91000,,,
1999.1759,2.32000,,,
1999.2024,20.40000,,,
1999.2306,63.84000,,,
1999.2569,66.60000,,,
1999.2847,20.23000,,,
1999.3391,-27.22000,,,
1999.3675,-19.56000,,,
1999.3923,11.96000,,,
1999.4199,0.87000,,,
1999.4471,16.87000,,,
1999.4747,30.53000,,,
1999.5025,32.34000,,,
1999.5287,8.09000,,,
1999.5541,33.91000,,,
1999.5831,49.42000,,,
1999.6100,59.60000,,,
1999.6379,34.19000,,,
1999.6931,25.94000,,,
1999.7178,8.78000,,,
1999.7463,50.27000,,,
1999.7732,54.80000,,,
1999.8005,90.37000,,,
1999.8275,124.11000,,,
1999.8545,71.23000,,,
1999.8818,58.19000,,,
1999.9089,36.25000,,,
1999.9632,21.26000,,,
1999.9906,30.84000,,,
2000.0174,55.71000,,,
2000.0446,46.15000,,,
2000.0715,13.75000,,,
2000.0989,16.48000,,,
2000.1261,19.43000,,,
2000.1532,62.42000,,,
2000.1802,35.28000,,,
2000.2073,32.12000,,,
2000.2345,33.46000,,,
2000.2887,-12.24000,,,
2000.3167,-4.26000,,,
2000.3430,-24.00000,,,
2000.3709,-34.16000,,,
2000.3972,-26.11000,,,
2000.4241,-23.57000,,,
2000.4516,-6.71000,,,
2000.4785,-33.26000,,,
2000.5063,-22.86000,,,
2000.5336,-1.14000,,,
2000.5883,0.26000,,,
2000.6147,-4.52000,,,
2000.6421,18.68000,,,
2000.6691,32.89000,,,
2000.6954,-94.80000,,,
2000.7229,19.33000,,,
2000.7502,13.02000,,,
2000.7777,-47.07000,,,
2000.8047,-21.36000,,,
2000.8590,17.11000,,,
2000.8863,23.34000,,,
2000.9139,32.22000,,,
2000.9405,31.44000,,,
2000.9675,42.73000,,,
2000.9946,63.06000,,,
2001.0219,74.20000,,,
2001.0763,44.15000,,,
2001.1035,12.61000,,,
2001.1306,17.01000,,,
2001.1575,20.34000,,,
2001.1846,15.22000,,,
2001.2124,13.61000,,,
2001.2395,17.85000,,,
2001.2660,8.74000,,,
2001.2934,-31.42000,,,
2001.3209,-24.86000,,,
2001.3478,-29.45000,,,
2001.3744,-8.31000,,,
2001.4025,-14.91000,,,
2001.4286,-6.03000,,,
2001.4561,-8.21000,,,
2001.4835,-1.57000,,,
2001.5106,-7.07000,,,
2001.5383,-15.81000,,,
2001.5648,1.81000,,,
2001.5919,15.07000,,,
2001.6190,-10.95000,,,
2001.6461,17.68000,,,
2001.6726,26.72000,,,
2001.7005,41.92000,,,
2001.7278,20.20000,,,
2001.7551,63.74000,,,
2001.7824,44.44000,,,
2001.8093,32.12000,,,
2001.8365,-3.51000,,,
2001.8636,-53.41000,,,
2001.8916,-24.34000,,,
2001.9176,7.16000,,,
2001.9451,26.37000,,,
2001.9720,-22.70000,,,
2001.9991,-29.47000,,,
2002.0266,-11.54000,,,
2002.0527,,26.45000,,
2002.0537,6.79000,,,
2002.0800,,-2.38000,,
2002.0806,-17.80000,,,
2002.1065,,-3.19000,,
2002.1072,-20.90000,,,
2002.1342,,32.66000,,
2002.1350,11.81000,,,
2002.1603,,2.53000,,
2002.1619,-17.27000,,,
2002.1881,,-12.39000,,
2002.1891,-21.68000,,,
2002.2153,,-23.88000,,
2002.2167,-31.20000,,,
2002.2424,,-25.97000,,
2002.2434,-39.60000,,,
2002.2698,,1.55000,,
2002.2707,-15.66000,,,
2002.2970,,23.29000,,
2002.2982,1.56000,,,
2002.3236,,14.52000,,
2002.3242,7.95000,,,
2002.3509,,37.66000,,
2002.3524,40.11000,,,
2002.3786,,53.15000,,
2002.3798,49.12000,,,
2002.4057,,40.34000,,
2002.4062,40.06000,,,
2002.4331,27.20000,,,
2002.4335,,30.05000,,
2002.4598,,31.99000,,
2002.4606,28.66000,,,
2002.4867,,39.21000,,
2002.4879,43.79000,,,
2002.5162,,36.47000,,
2002.5414,,44.29000,,
2002.5421,44.67000,,,
2002.5688,,25.52000,,
2002.5695,9.87000,,,
2002.5952,,51.47000,,
2002.5964,41.40000,,,
2002.6226,,-9.79000,,
2002.6230,-22.56000,,,
2002.6497,,57.73000,,
2002.6549,37.24000,,,
2002.6773,,33.03000,,
2002.6785,36.02000,,,
2002.7039,,42.01000,,
2002.7064,58.11000,,,
2002.7313,,24.84000,,
2002.7317,44.61000,,,
2002.7588,,20.93000,,
2002.7593,32.69000,,,
2002.7860,,26.03000,,
2002.7863,33.32000,,,
2002.8130,,47.92000,,
2002.8141,51.11000,,,
2002.8400,,-33.69000,,
2002.8407,-10.67000,,,
2002.8671,-48.42000,,,
2002.8674,,-49.73000,,
2002.8916,,-22.96000,,
2002.8945,-16.40000,,,
2002.9214,,15.64000,,
2002.9218,-0.84000,,,
2002.9481,,15.51000,,
2002.9491,15.03000,,,
2002.9756,,9.38000,,
2002.9762,9.03000,,,
2003.0025,,13.53000,,
2003.0027,6.03000,,,
2003.0294,,-18.72000,,
2003.0307,-32.29000,,,
2003.0568,,-13.56000,,
2003.0573,-21.45000,,,
2003.0840,,32.23000,,
2003.0845,26.67000,,,
2003.1112,,51.87000,,
2003.1119,35.46000,,,
2003.1381,,26.46000,,
2003.1388,18.02000,,,
2003.1655,,35.13000,,
2003.1656,26.36000,,,
2003.1927,,36.08000,,
2003.1929,33.50000,,,
2003.2198,,10.20000,,
2003.2199,-8.98000,,,
2003.2464,,-26.95000,,
2003.2478,-43.39000,,,
2003.2748,-18.55000,,,
2003.2784,,-3.96000,,
2003.3018,,-15.42000,,
2003.3022,-23.50000,,,
2003.3286,-56.02000,,,
2003.3287,,-55.45000,,
2003.3553,,-17.85000,,
2003.3563,-19.43000,,,
2003.3826,,59.37000,,
2003.3844,62.19000,,,
2003.4108,,53.01000,,
2003.4109,47.75000,,,
2003.4366,,37.84000,,
2003.4374,45.75000,,,
2003.4651,,59.08000,,
2003.4669,59.62000,,,
2003.4917,,1.02000,,
2003.4923,2.53000,,,
2003.5188,,-9.21000,,
2003.5196,-3.39000,,,
2003.5459,28.44000,26.47000,,
2003.5728,,-1.50000,,
2003.5734,-9.94000,,,
2003.6002,14.53000,,,
2003.6007,,2.53000,,
2003.6272,,11.45000,,
2003.6277,33.77000,,,
2003.6548,43.28000,,,
2003.6549,,18.33000,,
2003.6815,,36.54000,,
2003.6819,57.46000,,,
2003.7085,,28.53000,,
